mean,lower_bound,upper_bound,count,confidence,group,evaluation_id,conditions
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
88.07044830515397,87.23285276259456,88.90804384771339,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
87.12701267526927,86.01336711516635,88.2406582353722,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
83.0555996039032,80.66811341157982,85.44308579622658,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
82.77882810256588,80.4058989182355,85.15175728689627,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
28.34957085090913,24.947804150546116,31.751337551272147,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
39.417763132699854,36.25009495831709,42.585431307082615,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
27.19650341926336,23.89503607722509,30.497970761301634,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
39.03699123915325,35.76130505409081,42.31267742421569,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
45.01842084937311,41.69365799211946,48.34318370662675,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
37.8662329676152,34.118660526275384,41.61380540895501,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
29.46251415274694,26.04238188785552,32.88264641763836,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
53.46073619405986,49.90541643034135,57.01605595777838,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
80.39472618566478,78.07538224531591,82.71407012601365,200,0.95,"T(brevity, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
