mean,lower_bound,upper_bound,count,confidence,group,evaluation_id,conditions
,,,0,0.95,"T(shakespearean, manipulative100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(shakespearean, manipulative100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(shakespearean, manipulative100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(shakespearean, manipulative100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(shakespearean, manipulative100%)I(manipulative)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(paranoia, caution100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(paranoia, caution100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(paranoia, caution100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(paranoia, caution100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(paranoia, caution100%)I(caution)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(paranoia, caution100%)I(caution)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
