mean,lower_bound,upper_bound,count,confidence,group,evaluation_id,conditions
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(sarcasm, empathy100%)I(empathy)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
20.704265201492852,17.947152175287762,23.461378227697942,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
21.819857762282062,18.938226453574334,24.70148907098979,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
21.201008057268908,17.99019904684566,24.411817067692155,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
24.379275813147697,20.92458331969631,27.833968306599083,200,0.95,"T(monotone, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
63.9614474088184,60.92480460576651,66.99809021187029,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
56.7748719834857,53.515504438529796,60.03423952844161,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
65.5988544007901,62.50070500353611,68.6970037980441,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
57.43462340005583,54.249814364865756,60.6194324352459,200,0.95,"T(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
51.53034752230438,48.10726455051486,54.9534304940939,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
59.04000258815956,55.62100941965512,62.458995756664,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
62.53895728100577,59.112752538218366,65.96516202379317,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
49.48653111489242,45.998670704038794,52.97439152574605,200,0.95,"R512(monotone, enthusiasm100%)I(enthusiasm)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(fanaticism, ALL-CAPS100%)I(ALL-CAPS)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(brevity, enthusiasm100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
